apo_name,true_label,predicted_label,diff
1GF3_A_1,0.9012421,2.3163466,1.4151045
2JXC_A_1,1.3712642,2.7455018,1.3742376
1C46_A_1,1.3243507,2.5642128,1.2398620999999999
2MEE_A_1,0.758082,1.9758294,1.2177474
2M49_A_1,1.4770994,2.607214,1.1301146
1GF9_A_1,0.87648207,1.9947703,1.11828823
1IP2_A_1,0.9627463,2.0538154,1.0910691
2MED_A_1,0.8587823,1.9201002,1.0613179000000001
1GFG_A_1,0.8447261,1.8553281,1.010602
1I1Z_A_1,0.9212264,1.8927562,0.9715298
1GF7_A_1,0.89509416,1.6639757,0.76888154
1IOC_A_1,1.1013768,1.7910054,0.6896286
1FLU_A_1,1.107431,1.5138125,0.40638149999999995
